Hostname,MAC Address,Vendor,Status
Unknown Device,bc:f4:d4:9f:b5:93,Unknown,Online
Unknown Device,d0:f8:8c:a0:74:93,Unknown,Online
Unknown Device,ce:de:e7:c9:68:ac,Unknown,Online
Unknown Device,3e:c8:af:02:db:ee,Unknown,Online
LAPTOP-HMNRNVCC.SRMIST.EDU.IN,58:02:05:9b:fb:86,AzureWave Technology Inc.,Online
MAC-F310C0,e2:b0:9e:14:0f:be,Unknown,Online
Unknown Device,ae:a2:21:0c:cf:48,Unknown,Online
Unknown Device,b2:7f:47:78:e9:c7,Unknown,Online
Unknown Device,b4:b5:b6:aa:f8:b9,"CHONGQING FUGUI ELECTRONICS CO.,LTD.",Online
Unknown Device,16:89:0a:10:ad:17,Unknown,Online
Unknown Device,ce:f3:9f:52:e3:05,Unknown,Online
Unknown Device,6e:7a:f9:0a:18:bb,Unknown,Online
Unknown Device,de:a6:77:50:24:80,Unknown,Online
Unknown Device,d6:8f:5c:2b:80:7f,Unknown,Online
